# Comment out songs you don't want downloaded
# Download with downloadSongList.py

# Don't change the song ID.
# Changing any other metadata isn't going to change the ID3 info of the tag.
SongID: 30284 ;; Name: Windowsill ;; ArtistName: Arcade Fire ;; AlbumName: Neon Bible ;; AlbumID: 119682 ;; ArtistID: 3415 ;; TrackNum: 9
SongID: 11962757 ;; Name: What Does Your Sould Look Like, Pt. 4 ;; ArtistName: DJ Shadow ;; AlbumName: Endtroducing ;; AlbumID: 188225 ;; ArtistID: 402467 ;; TrackNum: 0
SongID: 15814523 ;; Name: Hot Love ;; ArtistName: T. Rex ;; AlbumName: Electric Warrior ;; AlbumID: 1144345 ;; ArtistID: 403731 ;; TrackNum: 15
SongID: 24570423 ;; Name: She Likes Hair Bands ;; ArtistName: Butch Walker ;; AlbumName: I Liked It Better When You Had No Heart ;; AlbumID: 3971287 ;; ArtistID: 24309 ;; TrackNum: 7
SongID: 24539137 ;; Name: Sultans Of Swing ;; ArtistName: Dire Straits ;; AlbumName: Sultans of Swing: The Very Best of Dire Straits ;; AlbumID: 1385089 ;; ArtistID: 423 ;; TrackNum: 1
SongID: 11197279 ;; Name: My heart's in the Highlands ;; ArtistName: Polyphony ;; AlbumName: Triodion ;; AlbumID: 1932329 ;; ArtistID: 203807 ;; TrackNum: 0
SongID: 22521859 ;; Name: The Royal We ;; ArtistName: Silversun Pickups ;; AlbumName: Swoon ;; AlbumID: 3176945 ;; ArtistID: 4014 ;; TrackNum: 2
SongID: 52185 ;; Name: Breakadawn ;; ArtistName: De La Soul ;; AlbumName: Buhloone Mind State ;; AlbumID: 141346 ;; ArtistID: 1954 ;; TrackNum: 13
SongID: 7146428 ;; Name: I'll Fly Away ;; ArtistName: Kanye West ;; AlbumName: The College Dropout ;; AlbumID: 224054 ;; ArtistID: 181 ;; TrackNum: None
SongID: 854 ;; Name: Wildcat ;; ArtistName: Ratatat ;; AlbumName: Classics ;; AlbumID: 94812 ;; ArtistID: 151 ;; TrackNum: 4
SongID: 29600 ;; Name: Seventeen Years ;; ArtistName: Ratatat ;; AlbumName: Classics ;; AlbumID: 94812 ;; ArtistID: 151 ;; TrackNum: 0
SongID: 37894 ;; Name: Gettysburg ;; ArtistName: Ratatat ;; AlbumName: Classics ;; AlbumID: 94812 ;; ArtistID: 151 ;; TrackNum: 3
SongID: 24246046 ;; Name: After Hours (Live From Union Chapel, London) ;; ArtistName: We Are Scientists ;; AlbumName: Live From Union Chapel, London ;; AlbumID: 3882479 ;; ArtistID: 4210 ;; TrackNum: 6
SongID: 14543252 ;; Name: Cortez the Killer ;; ArtistName: Neil Young ;; AlbumName: Decade (disc 2) ;; AlbumID: 2363897 ;; ArtistID: 2272 ;; TrackNum: 17
SongID: 2904876 ;; Name: Pink Frost ;; ArtistName: The Chills ;; AlbumName: Kaleidoscope World ;; AlbumID: 556497 ;; ArtistID: 7123 ;; TrackNum: None
SongID: 23166711 ;; Name: Son of Perdition ;; ArtistName: Hollenthon ;; AlbumName: Opus Magnum ;; AlbumID: 3465707 ;; ArtistID: 183000 ;; TrackNum: 3
SongID: 21175107 ;; Name: Summertime Clothes ;; ArtistName: Animal Collective ;; AlbumName: Merriweather Post Pavilion (disc 1) ;; AlbumID: 3057108 ;; ArtistID: 4029 ;; TrackNum: 4
SongID: 23898540 ;; Name: Knife ;; ArtistName: Acrnym ;; AlbumName: Flowers ;; AlbumID: 3783915 ;; ArtistID: 168649 ;; TrackNum: 10
SongID: 603184 ;; Name: Into My Arms ;; ArtistName: Nick Cave & The Bad Seeds ;; AlbumName: The Boatman's Call ;; AlbumID: 2466355 ;; ArtistID: 5929 ;; TrackNum: 0
SongID: 10579704 ;; Name: Girl in the Slayer Jacket ;; ArtistName: Pig Destroyer ;; AlbumName: Phantom Limb ;; AlbumID: 229613 ;; ArtistID: 1166774 ;; TrackNum: 0
SongID: 21872241 ;; Name: A Passage to Bangkok ;; ArtistName: Rush ;; AlbumName: 2112 ;; AlbumID: 1103744 ;; ArtistID: 402377 ;; TrackNum: 0
SongID: 23352070 ;; Name: When I Look At You ;; ArtistName: Emalkay ;; AlbumName: When I Look At You ;; AlbumID: 3558511 ;; ArtistID: 146834 ;; TrackNum: 1
SongID: 22961830 ;; Name: Crystalised ;; ArtistName: The xx ;; AlbumName: XX ;; AlbumID: 3465425 ;; ArtistID: 1164089 ;; TrackNum: 3
SongID: 13923211 ;; Name: Horse With No Name ;; ArtistName: America ;; AlbumName: Bacobens Rock Top 500 ;; AlbumID: 202240 ;; ArtistID: 2817 ;; TrackNum: None
SongID: 13067668 ;; Name: Vi sitter i Ventrilo och spelar DotA ;; ArtistName: Basshunter ;; AlbumName: LOL <(^^,)> ;; AlbumID: 1155096 ;; ArtistID: 402916 ;; TrackNum: 1
SongID: 546949 ;; Name: Damaged ;; ArtistName: Assemblage 23 ;; AlbumName: Meta ;; AlbumID: 173047 ;; ArtistID: 45245 ;; TrackNum: 6
SongID: 7853 ;; Name: Paranoiattack ;; ArtistName: The Faint ;; AlbumName: Wet From Birth ;; AlbumID: 109709 ;; ArtistID: 1532 ;; TrackNum: 6
SongID: 166604 ;; Name: Such Great Heights ;; ArtistName: The Postal Service ;; AlbumName: Give Up ;; AlbumID: 2510956 ;; ArtistID: 2443 ;; TrackNum: 0
SongID: 116443 ;; Name: Erotomania ;; ArtistName: Dream Theater ;; AlbumName: Awake ;; AlbumID: 97951 ;; ArtistID: 1988 ;; TrackNum: 4
SongID: 23128179 ;; Name: Vlad the Impaler ;; ArtistName: Kasabian ;; AlbumName: West Ryder Pauper Lunatic Asylum ;; AlbumID: 3305940 ;; ArtistID: 3556 ;; TrackNum: 8
SongID: 8172769 ;; Name: Lady Don't Tek No ;; ArtistName: Latyrx ;; AlbumName: Solesides Greatest Bumps (1 of 2) ;; AlbumID: 1265212 ;; ArtistID: 18470 ;; TrackNum: 11
SongID: 12733296 ;; Name: Inner City Pressure ;; ArtistName: Flight of the Conchords ;; AlbumName: Music From Season 1 ;; AlbumID: 2236894 ;; ArtistID: 401918 ;; TrackNum: 0
SongID: 7289465 ;; Name: Jenny ;; ArtistName: Flight of the Conchords ;; AlbumName: HBO One Night Stand ;; AlbumID: 1086202 ;; ArtistID: 401918 ;; TrackNum: 0
SongID: 7156495 ;; Name: Istanbul (Not Constantinople) ;; ArtistName: They Might Be Giants ;; AlbumName: A User's Guide to They Might Be Giants ;; AlbumID: 1604088 ;; ArtistID: 2462 ;; TrackNum: 7
SongID: 20787898 ;; Name: Lakeside ;; ArtistName: BLK JKS ;; AlbumName: Paste Magazine Sampler #45: August 2008 ;; AlbumID: 2853657 ;; ArtistID: 688975 ;; TrackNum: 1
SongID: 3602027 ;; Name: Grunge 3 (Dieselboy & Kaos & Karl K Remix) ;; ArtistName: Bad Company Uk ;; AlbumName: Dieselboy Present The Human Resource ;; AlbumID: 705927 ;; ArtistID: 43164 ;; TrackNum: 10
SongID: 25756953 ;; Name: Wind Blows ;; ArtistName: Yukon Blonde ;; AlbumName: Yukon Blonde ;; AlbumID: 4481766 ;; ArtistID: 1312807 ;; TrackNum: 0
SongID: 27189 ;; Name: Sister Ray ;; ArtistName: The Velvet Underground ;; AlbumName: Pitchfork's 200 Greatest Songs of the 1960s ;; AlbumID: 248350 ;; ArtistID: 4058 ;; TrackNum: 14
SongID: 989679 ;; Name: Uncommon Valor: A Vietnam Story ;; ArtistName: Jedi Mind Tricks ;; AlbumName: Servants In Heaven, Kings In Hell ;; AlbumID: 120836 ;; ArtistID: 3535 ;; TrackNum: 4
SongID: 1144558 ;; Name: Heal It Up ;; ArtistName: Concrete Blonde ;; AlbumName: Mexican Moon ;; AlbumID: 380112 ;; ArtistID: 18106 ;; TrackNum: 3
SongID: 1290018 ;; Name: The Crown Of Sympathy ;; ArtistName: My Dying Bride ;; AlbumName: Turn Loose The Swans ;; AlbumID: 403203 ;; ArtistID: 45833 ;; TrackNum: 5
SongID: 22099067 ;; Name: Prehistoric Dog ;; ArtistName: Red Fang ;; AlbumName: Sxsw 2009 Showcasing Artists ;; AlbumID: 3437141 ;; ArtistID: 1055158 ;; TrackNum: 0
SongID: 24434719 ;; Name: Maps ;; ArtistName: Yeah Yeah Yeahs ;; AlbumName: Fever to Tell ;; AlbumID: 1105345 ;; ArtistID: 1640 ;; TrackNum: 9
SongID: 2180709 ;; Name: You Can Call Me Al ;; ArtistName: Simon, Paul ;; AlbumName: Graceland ;; AlbumID: 121607 ;; ArtistID: 26263 ;; TrackNum: 6
SongID: 9583301 ;; Name: How Blue Can You Get? ;; ArtistName: B.B. King ;; AlbumName: The Best Of BB King ;; AlbumID: 305374 ;; ArtistID: 403099 ;; TrackNum: 3
SongID: 11924546 ;; Name: (I Don't Want to Go to) Chelsea ;; ArtistName: Elvis Costello ;; AlbumName: Taking Liberties ;; AlbumID: 1824883 ;; ArtistID: 3481 ;; TrackNum: 14
SongID: 24246046 ;; Name: After Hours (Live From Union Chapel, London) ;; ArtistName: We Are Scientists ;; AlbumName: Live From Union Chapel, London ;; AlbumID: 3882479 ;; ArtistID: 4210 ;; TrackNum: 6
SongID: 3181766 ;; Name: American Girl ;; ArtistName: Tom Petty & The Heart Breakers ;; AlbumName: Tom Petty & The Heartbreakers' Greatest Hits ;; AlbumID: 260230 ;; ArtistID: 695 ;; TrackNum: 1
SongID: 56122 ;; Name: Riders On The Storm ;; ArtistName: Doors ;; AlbumName: Greatesthits ;; AlbumID: 101074 ;; ArtistID: 4626 ;; TrackNum: None
SongID: 154602 ;; Name: Redemption Song ;; ArtistName: Bob Marley & The Wailers ;; AlbumName: Legend: The Best of Bob Marley and the Wailers ;; AlbumID: 97295 ;; ArtistID: 848 ;; TrackNum: 11
SongID: 10586815 ;; Name: Living for the City ;; ArtistName: Stevie Wonder ;; AlbumName: The Definitive Collection ;; AlbumID: 126456 ;; ArtistID: 463 ;; TrackNum: 11
SongID: 717700 ;; Name: Shakedown Street ;; ArtistName: Grateful Dead ;; AlbumName: Shakedown Street ;; AlbumID: 232256 ;; ArtistID: 2068 ;; TrackNum: 3
SongID: 2180313 ;; Name: London Calling ;; ArtistName: Clash The ;; AlbumName: London Calling ;; AlbumID: 122336 ;; ArtistID: 52283 ;; TrackNum: 1
SongID: 4365400 ;; Name: Suffragate City ;; ArtistName: David Bowie ;; AlbumName: Best Of Bowie ;; AlbumID: 124056 ;; ArtistID: 940 ;; TrackNum: None
SongID: 176455 ;; Name: Life During Wartime ;; ArtistName: Talking Heads ;; AlbumName: Stop Making Sense ;; AlbumID: 183991 ;; ArtistID: 336 ;; TrackNum: 8
SongID: 416478 ;; Name: Fat Bottomed Girls ;; ArtistName: Queen ;; AlbumName: Queen Rocks ;; AlbumID: 235811 ;; ArtistID: 2324 ;; TrackNum: 9
SongID: 19716 ;; Name: I Need More Love ;; ArtistName: Robert Randolph & The Family Band ;; AlbumName: Unclassified ;; AlbumID: 121856 ;; ArtistID: 3655 ;; TrackNum: 2
SongID: 23220166 ;; Name: Convinced Of The Hex ;; ArtistName: The Flaming Lips ;; AlbumName: Embryonic ;; AlbumID: 3441596 ;; ArtistID: 1927 ;; TrackNum: 1
SongID: 4026 ;; Name: Welcome To Jamrock ;; ArtistName: Damian Marley ;; AlbumName: Welcome To Jamrock ;; AlbumID: 107107 ;; ArtistID: 924 ;; TrackNum: 3
SongID: 7701030 ;; Name: Dance with the Devil ;; ArtistName: Immortal Technique ;; AlbumName: Revolutionary, Volume 1 ;; AlbumID: 2378183 ;; ArtistID: 7937 ;; TrackNum: 11
SongID: 37454 ;; Name: Epic Problem ;; ArtistName: Fugazi ;; AlbumName: The Argument ;; AlbumID: 130830 ;; ArtistID: 3994 ;; TrackNum: 4
SongID: 24455283 ;; Name: 1901 ;; ArtistName: Phoenix ;; AlbumName: Wolfgang Amadeus Phoenix ;; AlbumID: 3120156 ;; ArtistID: 919306 ;; TrackNum: 2
SongID: 14484495 ;; Name: Angel of Death ;; ArtistName: Slayer ;; AlbumName: Reign in Blood ;; AlbumID: 2360117 ;; ArtistID: 4178 ;; TrackNum: 1
SongID: 7373594 ;; Name: 155 ;; ArtistName: +44 ;; AlbumName: When Your Heart Stops Beating ;; AlbumID: 1100546 ;; ArtistID: 392261 ;; TrackNum: 5
SongID: 23766059 ;; Name: Loco Bananas ;; ArtistName: Big Punisher/Tony Sunshine ;; AlbumName: Langauge Is Fatal ;; AlbumID: 3748838 ;; ArtistID: 1249481 ;; TrackNum: 11
SongID: 26018893 ;; Name: Percussion Gun ;; ArtistName: White Rabbits ;; AlbumName: Sirius XM U Sessions ;; AlbumID: 4575388 ;; ArtistID: 7002 ;; TrackNum: 2
SongID: 23269645 ;; Name: Science Of Fear (Album Version) ;; ArtistName: The Temper Trap ;; AlbumName: Science Of Fear EP ;; AlbumID: 3513812 ;; ArtistID: 973606 ;; TrackNum: 1
SongID: 7568762 ;; Name: Cliff Diving ;; ArtistName: +44 ;; AlbumName: When Your Heart Stops Beating ;; AlbumID: 1100546 ;; ArtistID: 392261 ;; TrackNum: 7
SongID: 208689 ;; Name: '39 ;; ArtistName: Queen ;; AlbumName: A Night at the Opera [Bonus Tracks] ;; AlbumID: 191561 ;; ArtistID: 2324 ;; TrackNum: 5
SongID: 23401183 ;; Name: Goodbye' Porkpie Hat ;; ArtistName: Santana, Jeff Beck & Steve Lukather ;; AlbumName: Lotus Gem - Live In Japan '87 (Disc 2) ;; AlbumID: 3580229 ;; ArtistID: 939548 ;; TrackNum: 7
SongID: 24814142 ;; Name: Baby I'm Yours ;; ArtistName: Breakbot ;; AlbumName: Baby Im Yours ;; AlbumID: 4094502 ;; ArtistID: 375530 ;; TrackNum: 0
SongID: 23681824 ;; Name: Stubb (A Dub) ;; ArtistName: Mr. Bungle ;; AlbumName:  ;; AlbumID: 1409442 ;; ArtistID: 402535 ;; TrackNum: 0
SongID: 23430394 ;; Name: Supernova ;; ArtistName: 9mm Parabellum Bullet ;; AlbumName: Supernova/Wanderland ;; AlbumID: 3592632 ;; ArtistID: 649779 ;; TrackNum: 1
SongID: 25943949 ;; Name: Change ;; ArtistName: Monkey Majik + Yoshida Brothers ;; AlbumName: Change ;; AlbumID: 4545484 ;; ArtistID: 578547 ;; TrackNum: 1
SongID: 7608072 ;; Name: Man in a Shed ;; ArtistName: Nick Drake ;; AlbumName: Five Leaves Left ;; AlbumID: 114760 ;; ArtistID: 1287 ;; TrackNum: 8
SongID: 8604439 ;; Name: Ghosts ;; ArtistName: Laura Marling ;; AlbumName: Alas I Cannot Swim ;; AlbumID: 1359200 ;; ArtistID: 230744 ;; TrackNum: 0
SongID: 15179 ;; Name: Blue Valentines ;; ArtistName: Tom Waits ;; AlbumName: Blue Valentine ;; AlbumID: 118288 ;; ArtistID: 1591 ;; TrackNum: 10
SongID: 23379796 ;; Name: They Provide The Paint ;; ArtistName: Bandits of the Acoustic Revolution ;; AlbumName: A Call to Arms ;; AlbumID: 1653208 ;; ArtistID: 430039 ;; TrackNum: 5
SongID: 25770505 ;; Name: Coward ;; ArtistName: Annihilator ;; AlbumName: Self Titled ;; AlbumID: 4486330 ;; ArtistID: 10620 ;; TrackNum: 2
SongID: 25112729 ;; Name: one of them days ;; ArtistName: Sonreal ;; AlbumName:  ;; AlbumID: 4236402 ;; ArtistID: 1376112 ;; TrackNum: 0
SongID: 8202104 ;; Name: San Francisco Knights ;; ArtistName: People Under the Stairs ;; AlbumName: The Next Step ;; AlbumID: 1273252 ;; ArtistID: 453218 ;; TrackNum: 8
SongID: 11816670 ;; Name: Acid Raindrops ;; ArtistName: People Under the Stairs ;; AlbumName: O.S.T. ;; AlbumID: 1273225 ;; ArtistID: 453218 ;; TrackNum: 18
SongID: 7887766 ;; Name: Move on Up ;; ArtistName: Curtis Mayfield ;; AlbumName: Shared ;; AlbumID: 3440749 ;; ArtistID: 72 ;; TrackNum: 1
SongID: 640838 ;; Name: A Sunday Smile ;; ArtistName: Beirut ;; AlbumName: The Flying Club Cup ;; AlbumID: 258062 ;; ArtistID: 3425 ;; TrackNum: 3
SongID: 23448860 ;; Name: Skinned Knees & Gapped Teeth ;; ArtistName: Dear and the Headlights ;; AlbumName: Small Steps, Heavy Hooves ;; AlbumID: 1643069 ;; ArtistID: 471692 ;; TrackNum: 9
SongID: 23191237 ;; Name: Dirty Black Summer ;; ArtistName: Danzig ;; AlbumName: Danzig Iii: How the Gods Kill ;; AlbumID: 421447 ;; ArtistID: 3463 ;; TrackNum: 5
SongID: 14745990 ;; Name: Waiting for the Miracle ;; ArtistName: Leonard Cohen ;; AlbumName: The Essential Leonard Cohen (disc 2) ;; AlbumID: 135036 ;; ArtistID: 3797 ;; TrackNum: 7
SongID: 23231768 ;; Name: Only Shallow ;; ArtistName: My Bloody Valentine ;; AlbumName: Loveless ;; AlbumID: 132501 ;; ArtistID: 4950 ;; TrackNum: 1
SongID: 29495 ;; Name: Gouge Away ;; ArtistName: Pixies ;; AlbumName: Wave of Mutilation: Best of Pixies ;; AlbumID: 1583212 ;; ArtistID: 3641 ;; TrackNum: 11
SongID: 10288018 ;; Name: Farmer in the City ;; ArtistName: Scott Walker ;; AlbumName: Tilt ;; AlbumID: 279697 ;; ArtistID: 4066 ;; TrackNum: 1
SongID: 18790225 ;; Name: Past Is Prologue ;; ArtistName: Tycho ;; AlbumName: Past Is Prologue ;; AlbumID: 190032 ;; ArtistID: 20855 ;; TrackNum: 8
SongID: 1556136 ;; Name: God Bless Our Dead Marines ;; ArtistName: A Silver Mt Zion ;; AlbumName: Horses In The Sky ;; AlbumID: 281892 ;; ArtistID: 26548 ;; TrackNum: 1
SongID: 23217727 ;; Name: Slip Inside This House ;; ArtistName: Primal Scream ;; AlbumName: Screamadelica ;; AlbumID: 162854 ;; ArtistID: 8057 ;; TrackNum: 2
